cid,cname,id,quizmethod,rate,remark,tid,tname
1609,計算機概論(二),261,,4,應用很多、講解詳細，考試難,568,黃志銘
539,線性代數,262,,3,老師著ppt念,561,林佩君
559,資料庫系統,263,,4,,567,林明言
563,使用者經驗設計,264,,3,老師改考卷時的評分標準不清楚,580,林國貴
555,通訊與網路概論,265,,4,"老師都會願意一步一步慢慢說，教學超讚、詳細清楚，上課不能吃早餐
",579,劉宗杰
566,安全程式設計,266,,4,,557,洪維志
1607,軟體品質保證與軟體測試,267,,4,"上課有趣、講話有條理，學習與實踐雙管齊下
",581,薛念林
560,數位影像處理,268,,4,,574,張貴忠
551,物件導向設計,269,,4,,574,張貴忠
553,軟體工程導論,270,,4,,552,許懷中
557,編譯器,271,,4,,566,陳青文
544,作業系統(一),272,,4,,566,陳青文
571,資訊與網路安全,273,,4,,569,陳烈武
547,電子學,274,,4,,556,陳啟鏘
539,線性代數,275,,3,步調有點快,556,陳啟鏘
549,數位系統設計,276,,4,,572,陳德生
554,Web程式設計,277,,4,,564,陳錫民
551,物件導向設計,278,,4,,564,陳錫民
543,離散數學,279,,4,,565,游景盛
543,離散數學,280,,4,,565,游景盛
542,資料結構,281,作業難度偏難,4,,568,黃志銘
1105,計算機概論與實習(III),282,,4,,568,黃志銘
555,通訊與網路概論,283,,4,,579,劉宗杰
564,網路程式設計,284,,4,建議在修這門課前要有java基礎,579,劉宗杰
561,社群網路APP開發與應用,285,,3,,559,劉明機
935,電子商務安全,286,,5,,891,魏國瑞
568,寬頻網路,287,,4,,551,竇其仁
801,財產保險(一),288,做服務學習會加分，考試選擇題會給題庫從裡面考，簡答題從課本出題，有看書的話可以拿到不錯的分數,5,適合外系選修，教火災險、強制汽車險等等以及保險基本觀念，能獲得相關知識很不錯，老師上課講話有點快，講解會帶實例較好理解,812,張吉宏
562,物件導向軟體工程,289,期中期末考(選擇+簡答)，作業是寫程式，期末有專題(有點難),4,考試有點難，期末專題自由發揮套用上課教的知識，有自己的教材就算上課聽不懂也能自己回去看,581,薛念林
582,半導體物理,290,沒有作業，期中考與平時小考,5,讚,604,梁寶芝
88,專業外語,291,期中:工作模擬面試，期末:團體報告(每個人都要報告)，作業交履歷等等，基本上都在上課時間完成,5,老師的英文講得不會太快，有時候會用中文再講一次，有問題問老師也很熱心回答，讓人不會害怕英文課,571,施惠家
412,材料熱力學,292,原文試題,5,教學仔細、認真,488,陳錦毅
488,應用文,293,期中考一篇公文，期末寫自傳。,1,上課不知所云，常把個人情緒帶到課堂上，黑板的字體僅前兩排看的清楚。,918,吳秀英
192,行銷管理,294,期中筆試可看書，期末報告,5,上課有趣，以大量的廣告、實際的例子，能讓我們清楚學到行銷的手法！,424,李元恕
786,財務資訊系統,295,上機考還有團體報告,2,上課不知所云，不過會看學生狀況，輔助同學，提供補考機會。,799,江耕南
18,計算機概論,296,期中期末、上機考,2,一直提外話 教課速度慢內容少,441,楊建成
542,資料結構,297,"期中期末、專題
兩個小組作業",5,準備充分，解釋清楚,446,林英志
283,機率論,298,"期中期末、每個禮拜小考
程式作業2個",4,教學較枯燥但講解詳細有條理,366,吳純純
1185,數值分析,299,"期中期末、兩次小考
每個禮拜小組作業",4,很關心學生的學習情況,10,許佳璵
234,大陸與東協市場開發與通路管理,300,有去就會過,5,"好老師
",322,伍昱睿
206,金融市場,301,"有期中期末還有期末報告
不難過",4,上課內容豐富,315,江怡蒨
1336,商業溝通,302,上課念課文而已,5,輕鬆過,318,林慧洙
1599,微處理機系統,303,正課成績會要上機考，如果沒有修實習課，須自行找時間練習，三次上機考各佔20%，期末40%。,4,老師第一次上課就開始嚇唬人，但其實人還蠻好的，上機考也可以帶程式碼進去，實習課認真練習，其實不會太難過。,554,王益文
1594,系統程式,304,期中期末考，大概三次四小考，還有不定時的review，期末有個compiler專題。,5,雖然考試很多，但review只要訂正上傳就會改成60分，考試題目其實都跟考古題類似，只要練習個一兩年就能考不錯了。,567,林明言
