scr_selcode,sub_id3,cname,credit,scj_scr_mso,scr_examid,scr_examfn,scr_exambf,cls_name,scr_period,precnt,acptcnt,note,unt_ls,cls_id,sub_id,scr_dup,year,sms,deptId,courseid,tname,cid,tid,populartiy,ct,course_id,score
2548,LAND331,不動產估價實務,3.0,必修,否,否,否,土管三乙,(四)08-10 紀209A 張梅英,60.0,0.0, ,4608,CM03132,06160,1,107,2,CD,1072CM0313206160001,['張梅英'],1793,770,0.0,1793_770,166d74d99bfd1c270f9ccc2c7e1ecae1859defefd9939fa2cf2663e4c277fd8f0e483db2a9c91c2e,出席及課堂參與：30%。期中考：30%。期末報告：40%。
1957,FINA350,投資學,3.0,選修,否,否,否,金融學院綜合班,(三)02-04 人704 黃孝慈,60.0,0.0,,4800,CF00100,18700,1,107,2,CF,1072CF0010018700001,['黃孝慈'],242,1150,0.0,242_1150,166d74d99bfd1c279519931446afa9b189a536b13e95f9e84413402a4c86ce6c0e483db2a9c91c2e,出席與參與、期中末考試
238,FINA182,財金概論,1.0,必修,否,否,否,財金一甲,(三)07     語304 謝依婷,60.0,0.0, ,4801,CB03111,37372,1,107,2,CF,1072CB0311137372001,['謝依婷'],1806,1142,0.0,1806_1142,166d74d99bfd1c276442f20c16947e0a4afbf3450d5949cd172f60451d0b28ed0e483db2a9c91c2e,"課堂參與10%、小組報告30%、
策略計劃書20%、成果報告30%、競賽10%"
241,ECON101,經濟學(二),3.0,必修,否,否,否,財金一甲,(四)02-04 商201 劉宗欣,72.0,0.0,須隨班修習「經濟學(二)實習」課,4801,CB03111,57552,1,107,2,CF,1072CB0311157552001,['劉宗欣'],1128,400,0.0,1128_400,166d74d99bfd1c276442f20c16947e0a5652085d2150f9d85dc938152f0999790e483db2a9c91c2e,期中考30%，期末考40%，平時成績30%(實習成績20%，點名10%)
248,FINA182,財金概論,1.0,必修,否,否,否,財金一乙,(三)07     紀103 洪偉峰,60.0,0.0, ,4801,CB03112,37372,1,107,2,CF,1072CB0311237372001,['洪偉峰'],1806,800,0.0,1806_800,166d74d99bfd1c276442f20c16947e0a1e0cc54679837fde172f60451d0b28ed0e483db2a9c91c2e,
258,FINA182,財金概論,1.0,必修,否,否,否,財金一丙,(二)04     科航205 陳清和,60.0,0.0, ,4801,CB03113,37372,1,107,2,CF,1072CB0311337372001,['陳清和'],1806,806,0.0,1806_806,166d74d99bfd1c276442f20c16947e0aeac6691e217ccac9172f60451d0b28ed0e483db2a9c91c2e,
281,ECON213,總體經濟學,3.0,必修,否,否,否,財金二乙,(二)06-08 忠207 呂瑞秋,80.0,0.0, ,4801,CB03122,74150,1,107,2,CF,1072CB0312274150001,['呂瑞秋'],1333,811,0.0,1333_811,166d74d99bfd1c276442f20c16947e0a293196bcaee4cf9d0e9921c583885fc50e483db2a9c91c2e,上課上台解題、小考、期中考試與期末考試
283,INSU101,保險學,3.0,必修,否,否,否,財金二丙,(一)02-04 商305 吳仰哲,80.0,0.0, ,4801,CB03123,28800,1,107,2,CF,1072CB0312328800001,['吳仰哲'],227,209,0.0,227_209,166d74d99bfd1c276442f20c16947e0a81c9c90040f9f6b548894da9619ad69b0e483db2a9c91c2e,
285,FINA231,財務管理(二),3.0,必修,否,否,否,財金二丙,(三)06-08 語204 陳麗君,80.0,0.0,財務管理(二)正課及實習課須同班修習。,4801,CB03123,37840,1,107,2,CF,1072CB0312337840001,['陳麗君'],1808,794,0.0,1808_794,166d74d99bfd1c276442f20c16947e0afe5d21d14c6a3b32e79b59aa777995860e483db2a9c91c2e,"1. Mid-Term Exam (30%)
2. Final exam (30%)
3. Group Report (20%)
4. Class discussion and participation (20%)"
317,FINA499,金融產業專業實習,9.0,選修,否,否,否,財金四甲,(六)02-04 未排教室 劉炳麟,60.0,0.0,"限有修習過""金融產業專業實習導論""之財金系同學修習。",4801,CB03141,22747,1,107,2,CF,1072CB0314122747001,['劉炳麟'],1815,808,0.0,1815_808,166d74d99bfd1c276442f20c16947e0a7ea5b1b67df1b019ee8213899d930eba0e483db2a9c91c2e,-1
